instrument,open,high,low,close,date
GBP_USD,1.62031,1.62694,1.61955,1.62502,2012-12-18:00:00:00+0000
GBP_USD,1.62503,1.63071,1.62390,1.62508,2012-12-19:00:00:00+0000
GBP_USD,1.62508,1.62962,1.62446,1.62722,2012-12-20:00:00:00+0000
GBP_USD,1.62723,1.62736,1.61526,1.61719,2012-12-21:00:00:00+0000
GBP_USD,1.61712,1.61726,1.61508,1.61512,2012-12-23:00:00:00+0000
GBP_USD,1.61512,1.62066,1.61015,1.61333,2012-12-24:00:00:00+0000
GBP_USD,1.61333,1.61712,1.61088,1.61247,2012-12-26:00:00:00+0000
GBP_USD,1.61248,1.62031,1.60668,1.61144,2012-12-27:00:00:00+0000
GBP_USD,1.61144,1.61710,1.60790,1.61604,2012-12-28:00:00:00+0000
GBP_USD,1.61686,1.61774,1.61598,1.61612,2012-12-30:00:00:00+0000
GBP_USD,1.61613,1.62744,1.61342,1.62417,2012-12-31:00:00:00+0000
GBP_USD,1.62567,1.63816,1.62258,1.62509,2013-01-02:00:00:00+0000
GBP_USD,1.62509,1.62525,1.60582,1.60764,2013-01-03:00:00:00+0000
GBP_USD,1.60764,1.60888,1.60097,1.60690,2013-01-04:00:00:00+0000
GBP_USD,1.60794,1.60829,1.60647,1.60674,2013-01-06:00:00:00+0000
GBP_USD,1.60674,1.61290,1.60216,1.61218,2013-01-07:00:00:00+0000
GBP_USD,1.61218,1.61224,1.60291,1.60596,2013-01-08:00:00:00+0000
GBP_USD,1.60596,1.60752,1.59928,1.60144,2013-01-09:00:00:00+0000
GBP_USD,1.60143,1.61792,1.60046,1.61646,2013-01-10:00:00:00+0000
GBP_USD,1.61645,1.61707,1.60887,1.61321,2013-01-11:00:00:00+0000
GBP_USD,1.61321,1.61321,1.61321,1.61321,2013-01-12:00:00:00+0000
GBP_USD,1.61286,1.61392,1.61200,1.61227,2013-01-13:00:00:00+0000
GBP_USD,1.61229,1.61550,1.60318,1.60763,2013-01-14:00:00:00+0000
GBP_USD,1.60764,1.61010,1.60332,1.60742,2013-01-15:00:00:00+0000
GBP_USD,1.60743,1.60806,1.59760,1.59946,2013-01-16:00:00:00+0000
GBP_USD,1.59945,1.60392,1.59555,1.59782,2013-01-17:00:00:00+0000
GBP_USD,1.59782,1.59966,1.58540,1.58715,2013-01-18:00:00:00+0000
GBP_USD,1.58454,1.58567,1.58384,1.58556,2013-01-20:00:00:00+0000
GBP_USD,1.58554,1.58936,1.58062,1.58354,2013-01-21:00:00:00+0000
GBP_USD,1.58352,1.58835,1.58092,1.58359,2013-01-22:00:00:00+0000
GBP_USD,1.58356,1.58926,1.58021,1.58299,2013-01-23:00:00:00+0000
GBP_USD,1.58298,1.58520,1.57566,1.57806,2013-01-24:00:00:00+0000
GBP_USD,1.57807,1.58273,1.57461,1.58000,2013-01-25:00:00:00+0000
GBP_USD,1.57668,1.57868,1.57564,1.57740,2013-01-27:00:00:00+0000
GBP_USD,1.57740,1.57802,1.56747,1.56967,2013-01-28:00:00:00+0000
GBP_USD,1.56967,1.57734,1.56928,1.57446,2013-01-29:00:00:00+0000
GBP_USD,1.57445,1.58169,1.57256,1.57965,2013-01-30:00:00:00+0000
GBP_USD,1.57962,1.58749,1.57752,1.58693,2013-01-31:00:00:00+0000
GBP_USD,1.58691,1.58784,1.56902,1.56925,2013-02-01:00:00:00+0000
GBP_USD,1.56925,1.57106,1.56832,1.57019,2013-02-03:00:00:00+0000
GBP_USD,1.57018,1.57722,1.56942,1.57572,2013-02-04:00:00:00+0000
GBP_USD,1.57572,1.58045,1.56306,1.56647,2013-02-05:00:00:00+0000
GBP_USD,1.56646,1.56784,1.56318,1.56631,2013-02-06:00:00:00+0000
GBP_USD,1.56630,1.57692,1.56459,1.57053,2013-02-07:00:00:00+0000
GBP_USD,1.57056,1.58446,1.57055,1.58010,2013-02-08:00:00:00+0000
GBP_USD,1.58001,1.58035,1.57860,1.57996,2013-02-10:00:00:00+0000
GBP_USD,1.57996,1.58102,1.56461,1.56555,2013-02-11:00:00:00+0000
GBP_USD,1.56555,1.56834,1.55723,1.56759,2013-02-12:00:00:00+0000
GBP_USD,1.56758,1.56892,1.55238,1.55321,2013-02-13:00:00:00+0000
GBP_USD,1.55320,1.55431,1.54752,1.54853,2013-02-14:00:00:00+0000
GBP_USD,1.54852,1.55501,1.54620,1.55178,2013-02-15:00:00:00+0000
GBP_USD,1.55056,1.55088,1.54724,1.54770,2013-02-17:00:00:00+0000
GBP_USD,1.54770,1.55082,1.54380,1.54776,2013-02-18:00:00:00+0000
GBP_USD,1.54776,1.55046,1.54148,1.54275,2013-02-19:00:00:00+0000
GBP_USD,1.54274,1.54514,1.51928,1.52265,2013-02-20:00:00:00+0000
GBP_USD,1.52266,1.52734,1.51320,1.52604,2013-02-21:00:00:00+0000
GBP_USD,1.52605,1.53220,1.51624,1.51625,2013-02-22:00:00:00+0000
GBP_USD,1.50789,1.51182,1.50754,1.50967,2013-02-24:00:00:00+0000
GBP_USD,1.50968,1.51994,1.50872,1.51653,2013-02-25:00:00:00+0000
GBP_USD,1.51653,1.52194,1.51131,1.51299,2013-02-26:00:00:00+0000
GBP_USD,1.51299,1.51884,1.50810,1.51660,2013-02-27:00:00:00+0000
GBP_USD,1.51660,1.52225,1.51489,1.51633,2013-02-28:00:00:00+0000
GBP_USD,1.51633,1.51858,1.49857,1.50386,2013-03-01:00:00:00+0000
GBP_USD,1.50432,1.50434,1.50272,1.50324,2013-03-03:00:00:00+0000
GBP_USD,1.50323,1.51402,1.49996,1.51285,2013-03-04:00:00:00+0000
GBP_USD,1.51284,1.51986,1.50943,1.51362,2013-03-05:00:00:00+0000
GBP_USD,1.51361,1.51552,1.49674,1.49949,2013-03-06:00:00:00+0000
GBP_USD,1.49950,1.50828,1.49680,1.50260,2013-03-07:00:00:00+0000
GBP_USD,1.50261,1.50474,1.48856,1.49260,2013-03-08:00:00:00+0000
GBP_USD,1.49212,1.49256,1.49016,1.49076,2013-03-10:00:00:00+0000
GBP_USD,1.49076,1.49436,1.48661,1.49052,2013-03-11:00:00:00+0000
GBP_USD,1.49052,1.49164,1.48316,1.49051,2013-03-12:00:00:00+0000
GBP_USD,1.49051,1.49817,1.48976,1.49248,2013-03-13:00:00:00+0000
GBP_USD,1.49248,1.51195,1.49154,1.50899,2013-03-14:00:00:00+0000
GBP_USD,1.50900,1.51766,1.50688,1.51151,2013-03-15:00:00:00+0000
GBP_USD,1.51206,1.51370,1.51018,1.51027,2013-03-17:00:00:00+0000
GBP_USD,1.51027,1.51438,1.50726,1.50958,2013-03-18:00:00:00+0000
GBP_USD,1.50958,1.51446,1.50734,1.50956,2013-03-19:00:00:00+0000
GBP_USD,1.50955,1.51864,1.50270,1.50939,2013-03-20:00:00:00+0000
GBP_USD,1.50939,1.52096,1.50930,1.51802,2013-03-21:00:00:00+0000
GBP_USD,1.51802,1.52486,1.51756,1.52298,2013-03-22:00:00:00+0000
GBP_USD,1.52349,1.52610,1.52238,1.52415,2013-03-24:00:00:00+0000
GBP_USD,1.52416,1.52586,1.51432,1.51779,2013-03-25:00:00:00+0000
GBP_USD,1.51780,1.52072,1.51356,1.51611,2013-03-26:00:00:00+0000
GBP_USD,1.51613,1.51814,1.50930,1.51271,2013-03-27:00:00:00+0000
GBP_USD,1.51271,1.52010,1.51122,1.52002,2013-03-28:00:00:00+0000
GBP_USD,1.52002,1.52199,1.51784,1.51993,2013-03-29:00:00:00+0000
GBP_USD,1.51931,1.52036,1.51876,1.51954,2013-03-31:00:00:00+0000
GBP_USD,1.51955,1.52421,1.51784,1.52218,2013-04-01:01:00:00+0100
GBP_USD,1.52218,1.52586,1.50994,1.51083,2013-04-02:01:00:00+0100
GBP_USD,1.51083,1.51585,1.50758,1.51383,2013-04-03:01:00:00+0100
GBP_USD,1.51383,1.52456,1.50337,1.52238,2013-04-04:01:00:00+0100
GBP_USD,1.52238,1.53634,1.51994,1.53348,2013-04-05:01:00:00+0100
GBP_USD,1.53106,1.53494,1.53101,1.53495,2013-04-07:01:00:00+0100
GBP_USD,1.53494,1.53510,1.52389,1.52633,2013-04-08:01:00:00+0100
GBP_USD,1.52631,1.53418,1.52505,1.53213,2013-04-09:01:00:00+0100
GBP_USD,1.53215,1.53434,1.52930,1.53237,2013-04-10:01:00:00+0100
GBP_USD,1.53238,1.54116,1.53190,1.53941,2013-04-11:01:00:00+0100
GBP_USD,1.53941,1.54097,1.53411,1.53427,2013-04-12:01:00:00+0100
GBP_USD,1.53426,1.53426,1.53426,1.53426,2013-04-13:01:00:00+0100
GBP_USD,1.53424,1.53538,1.53350,1.53530,2013-04-14:01:00:00+0100
GBP_USD,1.53530,1.53848,1.52702,1.52962,2013-04-15:01:00:00+0100
GBP_USD,1.52962,1.53792,1.52731,1.53582,2013-04-16:01:00:00+0100
GBP_USD,1.53581,1.53694,1.52170,1.52451,2013-04-17:01:00:00+0100
GBP_USD,1.52451,1.53128,1.52184,1.52831,2013-04-18:01:00:00+0100
GBP_USD,1.52830,1.53681,1.52244,1.52319,2013-04-19:01:00:00+0100
GBP_USD,1.52333,1.52405,1.52204,1.52248,2013-04-21:01:00:00+0100
GBP_USD,1.52247,1.52982,1.52043,1.52978,2013-04-22:01:00:00+0100
GBP_USD,1.52978,1.52978,1.51972,1.52271,2013-04-23:01:00:00+0100
GBP_USD,1.52272,1.52874,1.52268,1.52776,2013-04-24:01:00:00+0100
GBP_USD,1.52776,1.54803,1.52734,1.54330,2013-04-25:01:00:00+0100
GBP_USD,1.54333,1.54990,1.54189,1.54759,2013-04-26:01:00:00+0100
GBP_USD,1.54885,1.54922,1.54762,1.54899,2013-04-28:01:00:00+0100
GBP_USD,1.54900,1.55460,1.54790,1.54899,2013-04-29:01:00:00+0100
GBP_USD,1.54896,1.55683,1.54684,1.55363,2013-04-30:01:00:00+0100
GBP_USD,1.55363,1.56066,1.55270,1.55703,2013-05-01:01:00:00+0100
GBP_USD,1.55703,1.55907,1.54967,1.55342,2013-05-02:01:00:00+0100
GBP_USD,1.55339,1.56024,1.54808,1.55737,2013-05-03:01:00:00+0100
GBP_USD,1.55688,1.55782,1.55584,1.55750,2013-05-05:01:00:00+0100
GBP_USD,1.55750,1.55982,1.55207,1.55379,2013-05-06:01:00:00+0100
GBP_USD,1.55381,1.55523,1.54463,1.54765,2013-05-07:01:00:00+0100
GBP_USD,1.54766,1.55916,1.54710,1.55406,2013-05-08:01:00:00+0100
